id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
5yEHXWD0Hp3UuCfVznUIpu,Dermaga,Yesh,['Yesh'],0.721,0.629,0,-5.845,1,0.0445,0.393,0.0,0.272,0.894,124.003,185993,4,2018-12-07,21
4Z17kMxuG4QBUnNevnZGyZ,Ku Lari Ke Pantai (Theme Song),RAN,['RAN'],0.789,0.442,1,-6.356,0,0.0333,0.603,6.41e-05,0.102,0.652,122.961,191320,4,2018-06-20,17
3I34aHRCaQl8tJmeR8PI5d,Keep Being You,Isyana Sarasvati,['Isyana Sarasvati'],0.724,0.482,2,-8.164,1,0.121,0.294,5.27e-06,0.156,0.45,75.054,200514,4,2016-10-21,25
5DuSzOxHDi1qZycpzIWyhO,I Love You 3000,Stephanie Poetri,['Stephanie Poetri'],0.648,0.382,6,-7.85,1,0.0396,0.911,0.0,0.393,0.408,90.099,209734,4,2019-06-03,0
3XtOmsBy3rkhFv8pYL9D0B,Menikahimu,Kahitna,['Kahitna'],0.58,0.5,9,-10.13,1,0.0355,0.555,1.8e-05,0.108,0.532,75.433,240533,4,2003-01-01,48
567Jxm3NtelQH6Kq0sBQ0Q,Setapak Sriwedari,MALIQ & D'Essentials,"[""MALIQ & D'Essentials""]",0.59,0.81,9,-5.029,1,0.0313,0.249,0.0,0.266,0.766,117.045,250173,4,2013-02-10,49
0YOKIalo678SMnp4z8IEBV,Pesona Cinta,Adikara Fardy,['Adikara Fardy'],0.759,0.516,9,-9.194,1,0.0277,0.378,0.0595,0.0955,0.52,115.995,222201,4,2019-03-01,38
0BB47XqC0BbozOvDoPBraU,Only Want You,Rita Ora,['Rita Ora'],0.654,0.528,6,-6.224,0,0.0412,0.0599,7.14e-05,0.0975,0.376,82.014,180760,4,2018-11-23,52
5ieQrVW2U70NFMg28mzlqC,Harder (with Bebe Rexha),Jax Jones,"['Jax Jones', 'Bebe Rexha']",0.906,0.833,5,-3.027,0,0.0729,0.0899,0.0,0.154,0.752,104.017,159760,4,2019-07-12,54
2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),Lauv,"['Lauv', 'Julia Michaels']",0.755,0.625,2,-7.114,1,0.0896,0.49,0.0,0.157,0.374,147.02,174861,4,2018-09-27,9
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,['Zara Larsson'],0.665,0.799,6,-2.868,0,0.0617,0.18,0.0,0.125,0.5,101.976,228112,4,2019-06-21,69
2cOUlop2ZakjOKe4WinesN,Slow Hands,Niall Horan,['Niall Horan'],0.735,0.425,0,-6.648,1,0.0464,0.011,0.0,0.055,0.848,85.896,188174,4,2017-10-20,76
7haQE5nOcxwk0HXahP0aV3,Colour,MNEK,"['MNEK', 'Hailee Steinfeld']",0.683,0.782,0,-2.989,1,0.0497,0.408,0.0,0.236,0.673,100.954,201420,4,2018-06-01,58
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),Bazzi,"['Bazzi', 'Camila Cabello']",0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,180000,4,2018-08-02,77
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,"['Sam Smith', 'Normani']",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4,2019-01-11,84
322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely",Lauv,"['Lauv', 'Anne-Marie']",0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,198973,4,2019-08-02,11
5xy9LM90UAqyg3bFD3LiWq,Denganmu,Adiva,['Adiva'],0.65,0.563,0,-8.956,1,0.0279,0.437,3.31e-06,0.219,0.456,102.002,189266,4,2019-12-13,19
4oSuPOV2ueh6SKhH2vKskH,Meraih Prestasi,Tya Subiakto,['Tya Subiakto'],0.617,0.349,5,-11.493,1,0.0312,0.919,0.948,0.134,0.668,135.147,62708,4,2019-12-13,6
5aDelBoPxvXhEaMb0I7mUH,Denganmu - Original Soundtrack Habibie & Ainun 3,Adiva,['Adiva'],0.65,0.563,0,-8.956,1,0.0279,0.437,3.31e-06,0.219,0.456,102.002,189266,4,2019-11-08,33
